mean,std,skewness,kurtosis,rms,mad,dominant_freq,total_power,mean_ibi,ibi_std,mean_peak_amp,HR,sdnn,rmssd,nn50,pnn50,lf_power,hf_power,lf_hf_ratio,HR
455900048.374769,692474176.9754125,-0.986387649302181,0.4581658625672413,829074990.5080309,527855677.61942565,0.1,1.8887299580635817e+18,0.7777777777777778,0.0437444881889545,851850120.6138,77,2541811.1300194827,1610731.5754701635,298,99.66555183946488,97176035651.06528,188790839244.7672,0.514728553778378,77
-15105698.55422994,532754635.527357,0.0233773373881277,-1.5346380432925872,532968745.6171312,485592336.7969056,0.1,1.1260067512697743e+18,0.7888888888888889,0.071145824860365,59885041.52876921,75,691010.0360607408,429545.7450702081,298,99.66555183946488,55293095198.131325,27566813674.69523,2.005784776239383,75
110881586.77533336,307399575.4589278,-0.8374344100852177,-1.1407402288071222,326786207.294838,276858753.02122486,0.1,6.430767217238284e+17,0.8333333333333335,0.0666666666666666,195376347.3985333,73,562107.3752784142,465675.9672399624,296,98.99665551839465,170304841925.51312,337010686739.34686,0.5053395890001301,73
-33014061.07392802,647086901.6991451,-0.1821401757592041,-0.723556376014101,647928535.0863875,535836791.4741688,0.1,3.473697418815977e+18,0.8333333333333335,0.0449466574975494,584779696.4240001,73,2952935.996451748,1572708.774322072,298,99.66555183946488,542675177563.09937,331298628651.8045,1.6380242193318948,73
-129682747.63977867,368404001.0174106,0.2410488200182947,-0.8410079435199789,390562572.4529154,311793593.8944347,0.2,1.4661841547743337e+18,0.7282051282051281,0.0814884542670292,78837056.01168573,81,1477679.261609468,917921.0028981378,298,99.66555183946488,568817269004.6151,1807025082192.9624,0.3147810589957678,81
-167923154.70690668,209619245.44653136,1.1051963102679334,0.4144027100670815,268585952.6265156,168545379.59542075,0.1,2.035907943934094e+17,0.7256410256410256,0.0796936936816413,-52331034.97332142,82,708373.8016384547,459432.20042636455,298,99.66555183946488,13749230376.88912,85639262420.8728,0.1605482110450548,82
-7229055.612625007,225148698.71066377,-0.0978424562365067,-1.1603044341630633,225264723.772178,192962157.1051533,0.1,1.2813000225680622e+17,0.8090909090909091,0.071196000754368,45028764.983125,72,414273.6668762509,239516.88510804615,297,99.33110367892976,328685276.03031737,8510262450.907478,0.0386222255689974,72
45259306.97039734,340073150.5352603,-0.10866152707204,-1.3521702525235508,343071643.5125737,309923141.41160053,0.1,7.979502156578575e+17,0.7515151515151515,0.0385694607919935,161153297.39851663,80,836735.5403624478,544613.4255079947,297,99.33110367892976,86022016250.04507,613125179093.1855,0.1403009029530836,80
79556612.67136365,329936577.5726322,-0.0813879213526136,-0.5781098383396177,339392692.67337346,277476364.5429582,0.1,3.143147069932691e+17,0.775,0.0579351489294839,149934606.13424614,79,623676.0138006731,460720.2559430695,298,99.66555183946488,29918019859.396584,109759039469.53888,0.2725790969380672,79
38742014.15609036,315029924.8643112,-0.3187722519122468,-1.5050886395191236,317403209.21642274,289766099.4795057,0.1,8.764366929915846e+17,0.8,0.0828775414010748,147946535.410825,72,560315.1859632522,327128.5307084352,298,99.66555183946488,244387223068.82776,179586530916.45703,1.3608326962032344,72
